Artikelnummer;Artikelname;Länge;Breite;Höhe;Artikelgewicht;Farbe
02-0127;RETTER RTN-1482 Einlage / Doppel Ringschlüssel tief und gekröpft L-Torx Satz 24 Teile;56,7;40,8;3,2;4;0123FF
02-0128;RETTER RTN-1483 Einlage / Gabelring Schlüssel Schraubenschlüssel Satz 25 Teile;56,7;40,8;3,2;4;0124FF
02-0129;RETTER RTN-1484 Einlage / Doppel-Maulschlüssel, Doppel-Ringschlüssel, Ratschenring-Maulschlüssel Satz 31 Teile;56,7;40,8;3,2;8;0125FF
02-0130;RETTER RTN-1485 Einlage / Maulschlüssel und Ringschlüssel Satz 35 Teile;56,7;40,8;3,2;4;0126FF
02-0131;RETTER RTN-1486 Einlage / Maulschlüssel und Ringschlüssel (gekrüpft) 37 Teile;56,7;40,8;3,2;4;0127FF
02-0132;RETTER RTN-1311 Einlage / Zange Splintentreiber Satz 17 Teile;56,7;40,8;3,2;4;0128FF
02-0133;RETTER RTN-1325 Einlage / Spengler Zange Satz 11 Teile;56,7;40,8;3,2;4;0129FF
02-0384;RETTER R8 Werkzeugwagen /Carbon Edition Leer;0;0;0;30;0130FF
02-0138;RS4 Workstation Edelstahl 42 Werkzeugschrank mit Massivholz-Werkbank;106,6;45,8;92,5;86;0131FF
zh665r;Reifenmontiermaschine - pneumatisch Kippsäule ZH665R;125;92;95;220;0132FF
02-0140;RETTER RTN-1324 Einlage / T-Griff Sechskant Satz 10 Teile;56,7;40,8;3,2;8;0133FF
02-0141;RETTER RTN-1340 Einlage / Schraubendreher und T-Steckschlüssel Satz 28 Teile;56,7;40,8;3,2;8;0134FF
02-0142;RETTER RTN-1406 Einlage / Schraubendreher Satz 21 Teile;56,7;40,8;3,2;8;0135FF
02-0135;RETTER RTN-1320 Einlage / T-Griff Torx und T-Griff Sechskant Satz 18 Teile;56,7;40,8;3,2;8;0136FF
02-0088-01;RT9316 Werkzeugwagen Blue Line - Leer;0;0;0;40;0137FF
zh828;Reifenwuchtmaschine - ZH828 LCD Monitor;98;70;115;187;0138FF
02-0246;Reifenwuchtmaschine - ZH825LA LCD-Bildschirm;98;70;115;187;0139FF
zh820ca;Reifenwuchtmaschine - ZH820CA mit Pedalschalter;98;70;115;187;0140FF
zh810a;Reifenwuchtmaschine - ZH810A auto Messung;100;70;115;187;0141FF
02-0194;RETTER PROFI Reifenmontiermaschine Kippsäule mit Doppel Hilfsarm RT850 IT+JAR214 + JAL313;125;95;95;230;0142FF
02-0203;Reifenmontiermaschine - pneumatisch Kippsäule ( 2 Stufen Speed ) RETTER 706D Red;130;95;95;220;0143FF
zh626s;"Reifenmontiermaschine 706C 24"" halbauto. Seitenschwinge";125;95;95;224;0144FF
02-0615;RETTER Profi Reifenmontiermaschine 380V RT-706C Pro mit Booster System und Hilfsarm;125;95;95;224;0145FF
36953;Schraubenkompressor APS Basic 3 Combi Dry;0;0;0;187;0146FF
36803;Schraubenkompressor APS 3 Basic;0;0;0;99;0147FF
02-0147-02-0145;"SET: Reifenmontiermaschine RT-706D max 24"" & Wuchtmaschine RTW-65B";0;0;0;170;0148FF
ZH-828-ZH650S;Set: Reifenmontier- ZH650S max 24 Zoll & Wuchtmaschine ZH828;0;0;0;170;0149FF
02-0062;RETTER RTH-2050A 2 Säulen Hebebühne 5.0 t Automatische Entriegelung Expert-Line;290;57;75;630;0150FF
03-0002;XN0001 200mm Löffel mit Zähne - Minibagger;40;40;25;10;0151FF
03-0003;XN0002 500m Böschungslöffel - Minibagger;0;0;0;40;0152FF
03-0008;XN0007 Aufreißer, Rodezahn, Reißzahn - Minibagger;0;0;0;25;0153FF
03-0004;XN0003 800mm Böschungslöffel - Minibagger;0;0;0;40;0154FF
03-0009;Erdbohrer für Minibagger XN08/XN12;0;0;0;40;0155FF
03-0007;XN0006 Rechen-Aufsatz für Minibagger;45;40;10;30;0156FF
03-0006;XN0005 Steingreifer Hydraulik - Minibagger;0;0;0;40;0157FF
